"title","province","order","google_title","address","place_id","status","latitude","longitude"
"โรงเรียนอนุบาลกระบี่ ถนนท่าเรือ อำเภอเมืองกระบี่","กระบี่","1","โรงเรียนอนุบาลกระบี่","1 Utarakit Rd, Pak Nam, Mueang Krabi District, Krabi 81000, Thailand","ChIJ44eKd7mUUTARnz_JuJNdjUo","OPERATIONAL","8.0505666","98.90836329999999"
"โรงเรียนอ่าวลึกประชาสรรค์ อำเภออ่าวลึก","กระบี่","2","Ao Luek Prachasan School","9PXV+X3C, Ao Luek Tai, Ao Luek District, Krabi 81110, Thailand","ChIJQ5EYNfcJUTAROAKpO1NcDQg","OPERATIONAL","8.399940299999999","98.7426507"
"หอประชุมโรงเรียนคลองท่อมราษฎร์รังสรรค์ อำเภอคลองท่อม","กระบี่","3","Khlong Thom Ratrangsan School","207 Petchkasem Rd, Khlong Thom Tai, Khlong Thom District, Krabi 81120, Thailand","ChIJV-bOFCv0UTARUgh9EoEBmAU","OPERATIONAL","7.947896999999998","99.1456692"
"บริเวณลานจอดรถสำนักงานเขตพระนคร","กรุงเทพ","1","ลานจอดรถ J Park เสาชิงช้า","83 Bamrung Mueang Rd, Sao Chingcha, Phra Nakhon, Bangkok 10200, Thailand","ChIJHQaeVXSZ4jARaW8LwusBaro","OPERATIONAL","13.7520819","100.4987549"
"บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย","กรุงเทพ","1","Pom Prap Sattru Phai District Office","50 Thanon Suppha Mit, Wat Sommanat, Pom Prap Sattru Phai, Bangkok 10100, Thailand","ChIJceCxnj-Z4jARzcJ6U54enY0","OPERATIONAL","13.7582402","100.5130718"
"บริเวณสำนักงานเขตสัมพันธวงศ์","กรุงเทพ","1","Samphanthawong District Office","37 Yotha Rd, Khwaeng Talat Noi, Samphanthawong, Bangkok 10100, Thailand","ChIJFS6-G9mY4jART6t02bdSwTc","OPERATIONAL","13.7320195","100.5147566"
"บริเวณภายในวชิราวุธวิทยาลัย","กรุงเทพ","1","Vajiravudh College","197 Ratchawithi Rd, Dusit, Dusit District, Bangkok 10300, Thailand","ChIJd2QIDVeZ4jARpdp_-8_9m7w","OPERATIONAL","13.7772609","100.5175464"
"บริเวณสโมสรสมาคมใหหนำแห่งประเทศไทย","กรุงเทพ","1","Hainan Association of Thailand","324 Thanon Surawong, Si Phraya, Bang Rak, Bangkok 10500, Thailand","ChIJaySw6dOY4jARXl9EOXANQMI","OPERATIONAL","13.7265576","100.519692"
"บริเวณสมาคมแต้จิ๋วแห่งประเทศไทย","กรุงเทพ","2","The Tio Chew Association of Thailand","1 ซอยเย็นจิตร 12 ถนนจันทน์ Thung Wat Don, Sathon, Bangkok 10120, Thailand","ChIJQVDUDsqY4jARN3k51a1ecVg","OPERATIONAL","13.7126968","100.5242227"
"รอยัล พารากอน ฮอลล์ ชั้น 5 ศูนย์การค้าสยามพารากอน","กรุงเทพ","2","Royal Paragon Hall","991 Rama I Rd, Pathum Wan, Bangkok 10330, Thailand","ChIJ9y2G-s2e4jARHwKNbz4W0PQ","OPERATIONAL","13.7469718","100.5346127"
"บริเวณสำนักงานเขตราชเทวี","กรุงเทพ","2","Ratchathewi District Office","10 Phaya Thai Rd, Thung Phaya Thai, Ratchathewi, Bangkok 10400, Thailand","ChIJ6xb5w7We4jARCxWbyNNK6UQ","OPERATIONAL","13.7591307","100.5342104"
"ลานจอดรถ โลตัสพระราม 3","กรุงเทพ","3","ที่จอดรถ สรรเพชร","95/131 Rama III Rd, Chong Nonsi, Yan Nawa, Bangkok 10120, Thailand","ChIJbRChIFyf4jARCjvtZuznIAc","OPERATIONAL","13.6939087","100.5481724"
"โรงจอดรถ ชั้น 1 สำนักงานเขตบางคอแหลม","กรุงเทพ","3","MRTA Park & Ride, Lak Song Station","228 Petchkasem Rd, Bang Khae Nuea, Bang Khae, Bangkok 10160, Thailand","ChIJBZUU__yX4jARXTJEt9VwTQM","OPERATIONAL","13.7111992","100.4112564"
"บริเวณสำนักงานเขตคลองเตย","กรุงเทพ","4","Khlong Toei District Office","599 สามแยกกล้วยน้ำไท Khlong Toei, Bangkok 10110, Thailand","ChIJ8WuBZpif4jARocTc40amo5g","OPERATIONAL","13.7081395","100.5837062"
"ลานจอดรถวัดธาตุทอง พระอารามหลวง","กรุงเทพ","4","Car Park EI8HT Thonglor","B, EI8HT Thonglor Building, 88/36 Sukhumvit 55(Thonglor), Khlong Tan Nuea, Klongton Nua, Bangkok 10110, Thailand","ChIJ2yiI66yf4jARletkIyLhsXs","OPERATIONAL","13.7305858","100.5818649"
"อาคารและเต้นท์บริเวณสำนักงานเขตห้วยขวาง","กรุงเทพ","5","Bangkok Metropolitan Land Office, Huai Khwang Branch","QHMH+QV8, Soi Ratchadaphisek 18, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand","ChIJjYRp-9Od4jARCQmotBLIqu0","OPERATIONAL","13.7844018","100.5797026"
"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)","กรุงเทพ","5","Bodindecha (Sing Singhaseni) School","40 Soi Ramkhamhaeng 43/1, Phlabphla, Wang Thonglang, Bangkok 10310, Thailand","ChIJHy64dwOe4jAR_Y1sEBOCZ7E","OPERATIONAL","13.7678082","100.6148764"
"อาคารกีฬาเวสน์ 1 และ อาคารกีฬาเวสน์ 2 ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น) ดินแดง","กรุงเทพ","6","อาคารกีฬาเวสน์ 2","QH82+HP8, Din Daeng, Bangkok 10400, Thailand","ChIJ78wlYb2e4jAROt2X86R6DC0","OPERATIONAL","13.7664015","100.551817"
"อาคารลานอเนกประสงค์ กรมประชาสัมพันธ์","กรุงเทพ","6","The Public Relations Department","9 Rama VI Soi 30, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand","ChIJfbUIfgKc4jARrcI2EK7OviQ","OPERATIONAL","13.780567","100.538176"
"บริเวณสำนักงานเขตบางซื่อ","กรุงเทพ","7","Bang Sue District Office","99 ซอย กานต์ประภา Bang Sue, Bangkok 10800, Thailand","ChIJE_pLcHGc4jARZ7Pyo3AKzy4","OPERATIONAL","13.8095562","100.5374561"
"บริเวณภายในวชิราวุธวิทยาลัย","กรุงเทพ","7","Vajiravudh College","197 Ratchawithi Rd, Dusit, Dusit District, Bangkok 10300, Thailand","ChIJd2QIDVeZ4jARpdp_-8_9m7w","OPERATIONAL","13.7772609","100.5175464"
"บริเวณสำนักงานเขตหลักสี่","กรุงเทพ","8","Lak Si District Office","999 Chang Watthana 10 Alley, Thung Song Hong, Lak Si, Bangkok 10210, Thailand","ChIJOZg_xt6C4jAR7uZDIZ_h13A","OPERATIONAL","13.8874937","100.5789259"
"มหาวิทยาลัยราชภัฏจันทรเกษม","กรุงเทพ","8","Chandrakasem Rajabhat University","39/1 Ratchadaphisek Rd, Chan Kasem, Chatuchak, Bangkok 10900, Thailand","ChIJ_b98oKud4jARsDILPbMAAQ8","OPERATIONAL","13.8188209","100.577309"
"บริเวณสำนักงานเขตหลักสี่","กรุงเทพ","9","Lak Si District Office","999 Chang Watthana 10 Alley, Thung Song Hong, Lak Si, Bangkok 10210, Thailand","ChIJOZg_xt6C4jAR7uZDIZ_h13A","OPERATIONAL","13.8874937","100.5789259"
"บริเวณลานจอดรถสำนักงานเขตบางเขน","กรุงเทพ","9","ลานจอดรถ","37 150 Phahonyothin Road, Anusawari, Bang Khen, Bangkok 10220, Thailand","ChIJIR37rbuD4jARF5litZW6r74","OPERATIONAL","13.8796941","100.6012036"
"มหาวิทยาลัยราชภัฏจันทรเกษม","กรุงเทพ","9","Chandrakasem Rajabhat University","39/1 Ratchadaphisek Rd, Chan Kasem, Chatuchak, Bangkok 10900, Thailand","ChIJ_b98oKud4jARsDILPbMAAQ8","OPERATIONAL","13.8188209","100.577309"
"บริเวณวิทยาลัยเทคนิคดอนเมือง","กรุงเทพ","10","Don Mueang Technical College","425 Thanon Song Prapha, Don Mueang, Bangkok 10210, Thailand","ChIJfXuu6E2C4jARcDcLPbMAAQ8","OPERATIONAL","13.928482","100.580641"
"เต็นท์บริเวณลานจอดรถสำนักงานเขตสายไหม","กรุงเทพ","11","ลานจอดรถ","37 150 Phahonyothin Road, Anusawari, Bang Khen, Bangkok 10220, Thailand","ChIJIR37rbuD4jARF5litZW6r74","OPERATIONAL","13.8796941","100.6012036"
"เต็นท์บริเวณลานจอดรถสำนักงานเขตสายไหม","กรุงเทพ","12","ลานจอดรถ","37 150 Phahonyothin Road, Anusawari, Bang Khen, Bangkok 10220, Thailand","ChIJIR37rbuD4jARF5litZW6r74","OPERATIONAL","13.8796941","100.6012036"
"เต็นท์บริเวณลานจอดรถสำนักงานเขตบางเขน","กรุงเทพ","12","ลานจอดรถ","37 150 Phahonyothin Road, Anusawari, Bang Khen, Bangkok 10220, Thailand","ChIJIR37rbuD4jARF5litZW6r74","OPERATIONAL","13.8796941","100.6012036"
"เต๊นท์บริเวณลานสอนขับรถยนต์ข้างสำนักงานเขตลาดพร้าว","กรุงเทพ","12","สอนขับรถยนต์N&P Superdrive school","43 Lat Pla Khao 40 Alley, Chorakhe Bua, Lat Phrao, Bangkok 10230, Thailand","ChIJH2cMWGmd4jARGuV-uU4BGbc","OPERATIONAL","13.8426005","100.6004317"
"เต๊นท์บริเวณลานสอนขับรถยนต์ข้างสำนักงานเขตลาดพร้าว (ถนนนาคนิวาส)","กรุงเทพ","13","สอนขับรถยนต์N&P Superdrive school","43 Lat Pla Khao 40 Alley, Chorakhe Bua, Lat Phrao, Bangkok 10230, Thailand","ChIJH2cMWGmd4jARGuV-uU4BGbc","OPERATIONAL","13.8426005","100.6004317"
"บริเวณสำนักงานเขตบึงกุ่ม","กรุงเทพ","13","Bung Kum District Office","999 Seri Thai Rd, Khlong Kum, Bueng Kum, Bangkok 10240, Thailand","ChIJ56zKCNJjHTERDE1QNlpe6-A","OPERATIONAL","13.7853451","100.6696236"
"บริเวณมหาวิทยาลัยรามคำแหง (หัวหมาก)","กรุงเทพ","14","Ramkhamhaeng University","QJ49+FG4 มหาวิทยาลัย Ramkhamhaeng Rd, Bangkok 10240, Thailand","ChIJ-2E_Yyef4jARqKbR6t1oPEo","OPERATIONAL","13.7561446","100.6188261"
"บริเวณโรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)","กรุงเทพ","14","Bodindecha (Sing Singhaseni) School","40 Soi Ramkhamhaeng 43/1, Phlabphla, Wang Thonglang, Bangkok 10310, Thailand","ChIJHy64dwOe4jAR_Y1sEBOCZ7E","OPERATIONAL","13.7678082","100.6148764"
"บริเวณสำนักงานเขตคันนายาว","กรุงเทพ","15","Khan Na Yao District Office","9 ซอย 01 Kanchanaphisek Rd, Khan Na Yao, Bangkok 10230, Thailand","ChIJEVH8swhjHTER3SGjiyvsxiE","OPERATIONAL","13.7993903","100.6826746"
"บริเวณสำนักงานเขตบึงกุ่ม","กรุงเทพ","15","Bung Kum District Office","999 Seri Thai Rd, Khlong Kum, Bueng Kum, Bangkok 10240, Thailand","ChIJ56zKCNJjHTERDE1QNlpe6-A","OPERATIONAL","13.7853451","100.6696236"
"บริเวณลานจอดรถ สำนักงานเขตคลองสามวา","กรุงเทพ","16","Khlong Sam Wa District Office","111 Liap Khlong Song Rd, Bang Chan, Khlong Sam Wa, Bangkok 10510, Thailand","ChIJy2d6ClRjHTERBBkguVUb64c","OPERATIONAL","13.8599935","100.7041949"
"บริเวณลานจอดรถ สำนักงานเขตคลองสามวา","กรุงเทพ","17","Khlong Sam Wa District Office","111 Liap Khlong Song Rd, Bang Chan, Khlong Sam Wa, Bangkok 10510, Thailand","ChIJy2d6ClRjHTERBBkguVUb64c","OPERATIONAL","13.8599935","100.7041949"
"บริเวณลานจอดรถ สำนักงานเขตคลองสามวา","กรุงเทพ","17","Khlong Sam Wa District Office","111 Liap Khlong Song Rd, Bang Chan, Khlong Sam Wa, Bangkok 10510, Thailand","ChIJy2d6ClRjHTERBBkguVUb64c","OPERATIONAL","13.8599935","100.7041949"
"โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ)","กรุงเทพ","18","Pakdee Noraset School","18 หมู่ 2 Buri Phirom 1, Krathum Rai, Nong Chok, Bangkok 10530, Thailand","ChIJySasYyduHTERq4gwyfdKNV8","OPERATIONAL","13.857038","100.8603232"
"สำนักงานเขตลาดกระบัง","กรุงเทพ","18","Lat Krabang District Office","1471, 1 Lat Krabang Rd, Lat Krabang, Bangkok 10520, Thailand","ChIJs-r2mEtoHTERbTutI-o6k50","OPERATIONAL","13.722357","100.7597523"
"บริเวณสำนักงานเขตสะพานสูง","กรุงเทพ","19","Saphan Sung District Office","5 Ramkhamhaeng 118 Alley, Saphan Sung, Bangkok 10240, Thailand","ChIJo4Mx5WBhHTERjBqwnI3KT_U","OPERATIONAL","13.7689109","100.6857041"
"บริเวณสวนเฉลิมพระเกียรติ ร.9","กรุงเทพ","19","Chaloem Phra Kiat Rama 9 Park","Min Buri, Bangkok 10510, Thailand","ChIJe2PuvWBkHTER_v1ojwTa670","OPERATIONAL","13.8130488","100.731339"
"สำนักงานเขตลาดกระบัง","กรุงเทพ","20","Lat Krabang District Office","1471, 1 Lat Krabang Rd, Lat Krabang, Bangkok 10520, Thailand","ChIJs-r2mEtoHTERbTutI-o6k50","OPERATIONAL","13.722357","100.7597523"
".บริเวณสำนักงานเขตสะพานสูง","กรุงเทพ","21","Saphan Sung District Office","5 Ramkhamhaeng 118 Alley, Saphan Sung, Bangkok 10240, Thailand","ChIJo4Mx5WBhHTERjBqwnI3KT_U","OPERATIONAL","13.7689109","100.6857041"
"โรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์","กรุงเทพ","21","โรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์","PM57+Q35, Prawet, Bangkok 10250, Thailand","ChIJC688D19gHTERVesfQkm-5As","OPERATIONAL","13.7093803","100.6627273"
"โรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์","กรุงเทพ","22","โรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์","PM57+Q35, Prawet, Bangkok 10250, Thailand","ChIJC688D19gHTERVesfQkm-5As","OPERATIONAL","13.7093803","100.6627273"
